Title|URL
10 Things You Don't Know About Meraki Wireless – BRKMER-2514 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKMER-2514.pdf
123 - Enterprise Campus Wired Design Fundamentals – BRKENS-1501 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKENS-1501.pdf
2G/3G is Sunsetting. Are You Prepared? – PSOIOT-1202 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/PSOIOT-1202.pdf
3-2-1, Go! It’s a Cooking Competition, and the Cisco Chefs have the Perfect Recipe – a Single Contract for the Solutions you Need to Drive Innovation and Outcomes – BRKGEN-1240 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKGEN-1240.pdf
3 Cisco DNA Center and ITSM Workflows: CMDB, Incident Management and SWIM – BRKOPS-2032 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKOPS-2032.pdf
3 Reasons to Modernize the Data Centre with Innovative Solutions – BRKPAR-2787 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKPAR-2787.pdf
4 Easy Ways for Network Engineers to Go From an Un-Programmed to an Automated Network – BRKOPS-2717 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKOPS-2717.pdf
5 Ways to Impress Your Colleagues with Automation – DEVNET-1970 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/DEVNET-1970.pdf
6 Years of Supply Chain Attacks – BRKSEC-2727 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKSEC-2727.pdf
7 Ways to Fail - on Wi-Fi 6(E) – BRKEWN-1742 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKEWN-1742.pdf
Accelerate Your Cloud Adoption with Cisco on AWS – BRKPAR-3078 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/BRKPAR-3078.pdf
Accelerate your Journey to Net Zero with Cisco Solutions – INTGEN-1876 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/INTGEN-1876.pdf
Accelerating Secure Innovation: Full-Stack Observability for Modern Apps  – INTAPP-1489 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/INTAPP-1489.pdf
Accelerating the Benefits of Routed Optical Networking with Crosswork Automation – PSOSPG-2011 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/PSOSPG-2011.pdf
Achieving Automation, Sustainability, and Performance: Yes! You Can Have it All – PSOSPG-1408 | https://www.ciscolive.com/c/dam/r/ciscolive/emea/docs/2023/pdf/PSOSPG-1408.pdf
